,Fold,Loss,Accuracy
0,1.0,0.5331589579582214,0.9542468190193176
1,2.0,0.5368605256080627,0.9514762759208679
2,3.0,0.5476516485214233,0.9179925322532654
3,4.0,0.5313912034034729,0.9544842839241028
4,5.0,0.5339086055755615,0.9464893341064453
5,6.0,0.5351974964141846,0.9426897764205933
6,7.0,0.5326780080795288,0.9497348070144653
7,8.0,0.5360696315765381,0.9502889513969421
8,9.0,0.5313428044319153,0.9551175236701965
9,10.0,0.5468945503234863,0.9157761335372925
10,Avg,0.5365153431892395,0.9438296437263489
